47350	76969	53692	84394	47518
92337	17316	16456	95965	55027
34027	29220	54530	7791	72191
83249	83956	14922	89704	28993
62196	19392	66219	42750	77819
31391	58796	12883	70738	57422
23166	62864	65308	67344	80185
60854	53724	4545	56239	42374
18704	62923	82632	578	71562
61006	67021	57744	6619	80113
33343	86435	24933	33184	36777
88100	30695	29005	59923	52499
80579	12556	41989	79349	23220
13862	984	43765	86948	96433
67294	90819	26322	98561	17499
95826	48926	2148	81151	87169
72472	14	12126	3585	2307
28884	60738	10591	37820	519
17645	47872	43675	7083	59841
97452	62908	50065	9665	7423
51611	58539	29701	89843	90460
72950	56226	17129	17603	41408
3621	79622	43483	48219	57342
9471	4177	60750	79677	36367
68345	8012	7099	69921	63113
90435	89588	18785	95709	47769
28583	57992	78980	95200	57059
29232	76364	21708	90032	91034
33596	48199	78594	18077	72993
92899	16221	76390	35061	98247
80003	25379	49312	21513	10903
36128	91449	81121	23221	43134
8415	41455	88047	83380	61766
58488	23909	53554	28845	73425
92864	5754	51514	98045	11207
44398	19284	91881	34818	40252
219	56321	15635	78871	86361
19294	99227	30166	26667	62439
52212	27802	49473	38356	39492
92407	85377	19063	7566	71903
74252	18705	30095	60967	63628
42329	33896	9620	17156	52406
73800	51659	4755	58629	42633
43588	86419	65121	86985	2993
69202	68904	54111	12091	60994
26438	4803	80980	80268	90074
95518	88187	85869	12940	93672
82093	35208	35419	4560	29682
15209	98837	17742	54226	98379
13558	62186	29050	56105	86836
30782	30209	49492	30148	92785
14249	61903	40360	52682	55563
97019	10754	15275	63770	86550
30880	10834	83930	64706	95097
51511	75877	73318	93389	76007
54626	55937	24923	47791	68908
67686	23224	82754	36457	8115
72364	954	18277	31635	92631
57656	89236	47847	14430	75929
76703	14195	47088	41706	60755
17563	63217	96270	56386	56493
53334	98350	51630	10109	94724
22832	492	43469	83419	2544
69503	20640	24327	86574	5090
61854	8307	75105	48185	14074
76531	13774	36666	25876	42753
27662	23519	320	95549	406
39876	32387	71137	1001	12594
51459	48665	9548	12027	79830
5821	35871	64868	22421	88623
47786	12658	33164	24319	58409
33879	88	42919	23400	92663
35397	45998	41475	58062	99707
27442	25109	59626	58335	85379
98824	15322	90452	29907	9069
10273	37552	36813	4305	19859
6995	37520	95233	5463	8966
