48651	515	33892	33212	83383
15365	43927	33516	90664	25942
60101	64935	66537	37353	43382
11691	73830	84775	70315	4376
54838	72739	18973	47783	50685
73754	84522	85462	86010	67665
9982	96907	58858	64057	50415
61476	36709	9341	53403	70748
51418	36875	39262	83258	65135
31218	79940	32481	44588	23141
47114	65593	70027	46315	98122
31101	60493	62364	83160	36221
24582	39010	5131	49619	22522
71012	76208	42780	84334	36147
83549	41548	79414	23355	67970
12136	30711	9593	13754	56867
47258	71251	41870	49260	96141
2678	35202	88622	87169	47838
54005	87151	84923	27282	2733
53197	64836	73592	74006	15691
46884	94482	22733	97390	38883
87796	81918	41808	83316	45471
31371	28978	22774	49034	59243
28936	80074	10328	95503	5688
1001	62307	34717	10232	52541
15210	27350	19438	15514	12698
46943	89149	79979	28957	9402
33325	89021	17982	23434	18017
44179	24978	45867	6516	34857
33189	68683	46947	79985	8243
68066	53314	23977	57349	23187
74220	29623	69229	32854	4925
40753	42514	48480	8481	87148
76129	79808	84923	70897	49865
31621	22379	96109	13385	97599
30203	55157	38774	83472	57205
42089	98250	35579	16477	60927
53340	84809	63524	6397	10547
51152	557	33400	48222	48216
38467	94821	48572	83953	3412
82054	85385	21813	27760	38963
83686	44431	74929	7312	89176
49145	35166	81473	66170	91118
75497	78677	94989	84079	23103
30419	54112	82874	98969	64006
21920	80906	80679	76379	88897
65365	66964	80473	34901	28729
53166	77229	94680	49006	47507
23670	58315	87067	19054	75573
99983	8831	41250	93807	99219
22510	11206	65471	35858	7242
23379	51743	69704	3182	38717
50471	94379	15588	56655	80958
1399	49172	61699	61155	77444
21718	95171	17149	67648	73149
59321	33411	34289	2503	4390
22924	49307	57275	2779	63688
2995	31978	47066	62743	40737
89447	10962	87373	42018	84948
10531	69425	34070	74424	16281
80186	20075	93233	92299	81139
44954	89635	56400	86444	32518
27816	17430	6827	23438	66964
60913	12395	98698	53412	63395
36877	8345	1972	54312	49699
45841	90894	62101	78311	93382
11793	63610	44156	9403	56397
50127	28625	61156	2892	52482
90552	37468	16924	91612	36010
94865	39479	47919	16080	90978
81754	33119	59104	6214	67025
29402	31667	63393	35080	74772
5942	74919	26755	22122	37187
14206	68790	8689	17483	37070
14913	54637	28176	92144	87609
33418	21432	28188	16588	86116
99268	24459	63602	51968	76880
32702	47868	89927	54566	83677
7988	15679	37651	22641	94653
41528	15844	70433	905	56829
27227	5897	43714	77862	4203
49293	9492	23744	60753	541
95015	19669	79673	2245	9199
10699	2507	55127	63079	44776
48969	62133	18122	84372	54422
59807	43094	78886	39586	59129
33461	40286	56102	62810	48643
4536	42707	42935	12137	96255
